"sample","name","cpu_ms"
18,"OkHttp TaskRunn",0.923626
18,"hwuiTask0",0.670083
18,"hwuiTask1",0.655000
18,"GPU completion",0.620374
18,"CookieMonsterCl",0.542750
18,"ScionFrontendAp",0.379708
18,"binder:28205_3",0.289125
18,"binder:28205_1",0.195873
18,"Firebase Blocki",0.186916
18,"HWC release",0.031250
18,"binder:28205_4",0.019085
19,"RenderThread",493.630300
19,"mqt_v_js",297.977831
19,"oelseisfree.app",166.015291
19,".0.2.2:8093/...",34.969580
19,"Measurement Wor",12.233499
19,"Jit thread pool",10.677125
19,"mqt_v_native",5.948540
19,"GPU completion",2.537044
19,"binder:28205_2",2.222170
19,"Firebase Backgr",2.155083
19,"DefaultDispatch",1.754749
19,"binder:28205_4",1.350039
19,"OkHttp TaskRunn",1.180873
19,"queued-work-loo",0.992665
19,"CookieMonsterCl",0.733333
19,"ScionFrontendAp",0.501875
19,"hwuiTask0",0.474292
19,"HWC release",0.445666
19,"binder:28205_3",0.441750
19,"hwuiTask1",0.374667
19,"binder:28205_1",0.324499
19,"FinalizerWatchd",0.165917
19,"Firebase Blocki",0.156834
19,"binder:28205_5",0.109832
20,"RenderThread",706.316760
20,"mqt_v_js",310.207458
20,"oelseisfree.app",255.313709
20,".0.2.2:8093/...",19.087708
20,"glide-disk-cach",14.124331
20,"Jit thread pool",11.522584
20,"Measurement Wor",9.187167
20,"mqt_v_native",4.012123
20,"ncFunctionQueue",3.824332
20,"Firebase Backgr",1.766500
20,"binder:28205_3",1.630708
20,"DefaultDispatch",1.339500
20,"OkHttp TaskRunn",1.148457
20,"binder:28205_2",1.101334
20,"queued-work-loo",1.079583
20,"GPU completion",0.967835
20,"binder:28205_5",0.946749
20,"hwuiTask0",0.934124
20,"hwuiTask1",0.792416
20,"CookieMonsterCl",0.450541
20,"ScionFrontendAp",0.365333
20,"binder:28205_1",0.323956
20,"Firebase Blocki",0.168875
20,"HWC release",0.132751
20,"Profile Saver",0.030166
21,"RenderThread",547.528288
21,"mqt_v_js",319.970133
21,"oelseisfree.app",153.102199
21,"HeapTaskDaemon",108.121077
21,"hades",71.447833
21,".0.2.2:8093/...",24.339917
21,"HybridData Dest",18.254002
21,"mqt_v_native",15.831997
21,"Measurement Wor",13.683875
21,"Jit thread pool",11.291415
21,"ReferenceQueueD",11.111543
21,"binder:28205_5",5.518002
21,"binder:28205_3",4.498041
21,"DefaultDispatch",2.733374
21,"Firebase Backgr",2.165833
21,"binder:28205_2",1.183540
21,"GPU completion",1.103044
21,"queued-work-loo",1.039833
21,"OkHttp TaskRunn",0.879584
21,"hwuiTask1",0.647042
21,"CookieMonsterCl",0.547749
21,"FinalizerDaemon",0.458959
21,"ScionFrontendAp",0.415709
21,"binder:28205_1",0.349374
21,"HWC release",0.327080
21,"hwuiTask0",0.285208
21,"Firebase Blocki",0.173958
21,"Expo JNI deallo",0.079750
21,"FinalizerWatchd",0.044459
