"cycle","label","tid","name","state","overlap_ms"
0,"up→navigate",16838,"oelseisfree.app","Running",8.100000
0,"up→navigate",16880,"mqt_v_js","S",6.236000
0,"up→navigate",16838,"oelseisfree.app","R",6.044000
0,"up→navigate",16838,"oelseisfree.app","R+",4.634000
0,"up→navigate",16889,"ncFunctionQueue","R+",2.500000
0,"up→navigate",16881,"mqt_v_native","R",2.191000
0,"up→navigate",16881,"mqt_v_native","Running",1.790000
0,"up→navigate",16880,"mqt_v_js","R+",1.784000
0,"up→navigate",16889,"ncFunctionQueue","Running",1.092000
0,"up→navigate",16871,"RenderThread","R+",0.851000
0,"up→navigate",16882,"binder:16838_4","R",0.565000
0,"up→navigate",16982,"GPU completion","Running",0.152000
0,"up→navigate",16882,"binder:16838_4","Running",0.072000
0,"up→navigate",16849,"binder:16838_3","Running",0.061000
0,"up→navigate",16983,"HWC release","Running",0.029000
0,"up→navigate",16889,"ncFunctionQueue","D",0.026000
0,"up→navigate",16889,"ncFunctionQueue","R",0.007000
0,"up→navigate",16889,"ncFunctionQueue","S",0.005000
1,"animation-requested→first-ui-motion",16842,"HeapTaskDaemon","S",26.436000
1,"animation-requested→first-ui-motion",16843,"ReferenceQueueD","S",26.436000
1,"animation-requested→first-ui-motion",16844,"FinalizerDaemon","S",26.436000
1,"animation-requested→first-ui-motion",16845,"FinalizerWatchd","S",26.436000
1,"animation-requested→first-ui-motion",16846,"binder:16838_1","S",26.436000
